lrs/actor_lr,debug/a2_1_std,debug/q_a1,round_time,debug/a_0,debug/actor_grad_norm,sampling_duration,debug/q1_std,debug/q_a1_std,debug/backup,debug/log_pi_std,debug/a1_2_std,_step,debug/a2_2,debug/a1_0_std,debug/q1,debug/logp_a2,debug/d_std,debug/a_1_std,debug/a2_2_std,debug/log_pi,lrs/critic_lr,debug/d,debug/a_1,debug/a2_1,debug/q_a1_targ,debug/a1_1_std,debug/a_0_std,training_step_duration,debug/a_2_std,debug/a2_0,debug/r_std,losses/loss_critic,memory_len,debug/a1_2,debug/backup_std,debug/demo_fraction_in_batch,debug/q2_std,debug/a2_0_std,debug/q_a1_targ_std,_timestamp,debug/r,episode_length_test,losses/loss_actor,idle_time,return_train,debug/logp_a2_std,debug/a_2,debug/a1_0,episode_length_train,debug/q2,debug/a1_1,_runtime,return_test,debug/critic_grad_norm
1e-05,0.5856716826,4.4682291667,14.691380024,0.3899706973,0.0163989503,0.0103221957,2.4221354167,2.4058333333,4.4942631165,0.2596828776,0.5851019436,10,0.0639005972,0.5879406621,4.4682291667,-2.0380377483,0.0065872096,0.6417598335,0.5863429697,-2.0377094281,5e-05,0.0003255208,-0.1955147353,0.0065544374,4.2197258878,0.5858776575,0.525811095,0.0379669285,0.7076187567,-0.0057486629,0.0980173381,0.0342415293,7653,0.0642797527,2.4307950823,0.0,2.419765625,0.5874838909,2.2664544908,1772300891.7254655,0.1230064872,0,-4.4882261809,0.0,12.2488565445,0.2594179964,-0.0152236579,-0.0021435101,282.0,4.4627604167,0.0080921158,605.0623255,0,2.4982152009
1e-05,0.5849157959,4.80375,14.4511363506,0.3875045839,0.0158971685,0.0099621511,2.5890364583,2.5755729167,4.8306952254,0.2416235875,0.5861598204,11,0.0384742258,0.5857961214,4.801875,-2.0410209433,0.0046369963,0.6417138902,0.5866670191,-2.0414537414,5e-05,0.0002278646,-0.1961936264,0.0397819541,4.560183541,0.5857699873,0.5257939925,0.0375337569,0.7078108501,-0.0069656762,0.0966779661,0.0372409401,7653,0.0398187787,2.5994920015,0.0,2.59625,0.587574387,2.4430898778,1772300891.7258441,0.1243114958,0,-4.8244396186,0.0,12.2488565445,0.2429168118,-0.0154019995,-0.0042980072,282.0,4.8061979167,0.0366785115,605.0634467,0,2.780299027
1e-05,0.5859341053,5.1288541667,14.464413166,0.3887667582,0.0155488366,0.0103719664,2.7750260417,2.76265625,5.1574312377,0.2428209447,0.5836188328,12,0.0392674865,0.5859202137,5.12515625,-2.0406846682,0.0042207375,0.6416262519,0.5847629648,-2.040869503,5e-05,0.0002018229,-0.1987363077,-0.0172897376,4.8932195926,0.5856480835,0.5259013674,0.0372340926,0.707909499,-0.0366974058,0.0960526709,0.035894331,7653,0.0393973684,2.7815121682,0.0,2.7790364583,0.5855924231,2.6310723285,1772300891.7264655,0.1247504977,0,-5.1489698362,0.0,12.2488565445,0.2447423841,-0.0165914372,-0.0382049399,282.0,5.1268229167,-0.018689694,605.0639467,0,2.8598556433
1e-05,0.5840774117,5.32328125,14.4120543003,0.386445882,0.0157513272,0.0100975966,3.122265625,3.101796875,5.3510904368,0.236574152,0.5867835792,13,0.0260256881,0.5868111877,5.3147395833,-2.0426030715,0.0063790802,0.6392335117,0.5865938,-2.0420093958,5e-05,0.0003125,-0.1969257708,0.0311320215,5.0987655497,0.5849127821,0.5250866693,0.0372596113,0.7031699598,-0.0155966479,0.0979022536,0.0444698055,8228,0.0230057077,3.1292891808,0.0,3.1163802083,0.5870923531,2.9816322998,1772300891.7269654,0.1219743253,0,-5.3438831433,0.0,13.6345822016,0.2372219009,-0.0152025749,-0.01932999,264.6666666667,5.32625,0.0314082269,605.0644465,0,3.3827104633
1e-05,0.5850229992,5.6243229167,14.1644694805,0.3903333556,0.0160033188,0.0099511862,3.2859375,3.2720052083,5.6383206518,0.2813099167,0.5827274829,14,0.0869208319,0.585346881,5.6208333333,-2.0306543644,0.0069426529,0.6389533585,0.5829937689,-2.0293089684,5e-05,0.0003450521,-0.2003360384,-0.0046676044,5.3908252319,0.5852938137,0.5250456945,0.0366796962,0.7036602956,-0.0159178503,0.0980563166,0.0423343828,8228,0.0909792939,3.3069223273,0.0,3.290625,0.5856517484,3.163784622,1772300891.7274654,0.122419901,0,-5.6440427899,0.0,14.3274450302,0.283200561,-0.0166665743,-0.0147760153,256.0,5.6170833333,-0.0018902757,605.0649472,0,3.1955684101
1e-05,0.583308056,5.8834375,14.4482200146,0.3803380711,0.0156944148,0.0101010005,3.5388541667,3.5232552083,5.9066416375,0.2682156469,0.584127757,15,0.0484677948,0.5863247172,5.8849479167,-2.0348095489,0.0081819797,0.6393382428,0.585459939,-2.0331430594,5e-05,0.0004036458,-0.1910820893,-0.0542531703,5.6675863949,0.584726153,0.5264289237,0.0373201068,0.7033333462,-0.0324544378,0.0978756418,0.0472135734,8228,0.0509335237,3.5502470513,0.0,3.540546875,0.5852893406,3.4126141791,1772300891.727965,0.121482987,0,-5.9039529173,0.0,14.3274450302,0.2712165148,-0.0151637967,-0.0323777784,256.0,5.87796875,-0.0545616485,605.0649472,0,3.6991843062
1e-05,0.5851125401,6.0222395833,14.2997226715,0.3711627214,0.0154668966,0.0100215872,3.804609375,3.7844010417,6.0675589379,0.2455843043,0.5858056072,16,-0.0206690134,0.5861509905,6.0181770833,-2.039519217,0.0090564136,0.6372171275,0.586351549,-2.0414106146,5e-05,0.0004231771,-0.1884314446,-0.0286726988,5.8398475297,0.5851552186,0.5282741125,0.0369317897,0.6986584087,-0.0161108061,0.0980886749,0.0543620931,8846,-0.0233165924,3.8118958525,0.0,3.80046875,0.5869548386,3.679947679,1772300891.728466,0.1188605218,0,-6.0419146999,0.0,26.2965284983,0.2420305238,-0.0154275224,-0.0188250466,376.3333333333,6.020625,-0.0256942363,605.0659458,0,4.3194922049
1e-05,0.5849696652,6.344375,14.8452658653,0.3797568253,0.0158734871,0.0106173158,3.8555989583,3.837109375,6.3789152797,0.2475658748,0.5866532199,17,-0.0339588801,0.5849243395,6.34796875,-2.039351629,0.0062574493,0.6395771805,0.5878133317,-2.0393425679,5e-05,0.0002994792,-0.1928961995,-0.017846363,6.1475707213,0.5846739173,0.5255032754,0.0382221913,0.7025592603,-0.0288723399,0.0972986409,0.0562385892,8846,-0.0335504721,3.864944435,0.0,3.8580729167,0.5856095964,3.7386791583,1772300891.7289653,0.1226697346,0,-6.3657349022,0.0,50.2346954346,0.2483846463,-0.0144973671,-0.0292107388,617.0,6.335,-0.0138706804,605.0664465,0,4.4737517375
1e-05,0.5858060763,6.4329166667,14.6660466194,0.375371277,0.0152105266,0.0102870282,4.1111197917,4.0927604167,6.4858023047,0.2539458598,0.5855148033,18,0.0129895507,0.5854025318,6.41921875,-2.0371480056,0.008319844,0.6396013224,0.5865289529,-2.0374941619,5e-05,0.000390625,-0.1894531503,0.0071935611,6.2658142916,0.5848655307,0.5297450777,0.037944719,0.7023221465,-0.0622813033,0.0976494977,0.0613217444,8846,0.0153530494,4.1103635108,0.0,4.1046354167,0.5845291257,3.9910247763,1772300891.7299652,0.1194591794,0,-6.4539786681,0.0,50.2346954346,0.2530932681,-0.0178705434,-0.0611490393,617.0,6.4459895833,0.0062873074,605.0669471,0,4.8166181802
1e-05,0.5844962792,6.6963541667,14.3010649681,0.3735081052,0.01539069,0.0099950886,4.2559375,4.2351822917,6.7279479027,0.2462711107,0.5865190995,19,-0.006295667,0.5867418387,6.6961979167,-2.0403505286,0.0080860317,0.6399955964,0.5858739169,-2.039010394,5e-05,0.0003841146,-0.1880005747,-0.0315575937,6.5085630465,0.5855509855,0.5273612145,0.0370027153,0.7036271761,-0.0156939217,0.0977715423,0.0578494832,8846,-0.0005627991,4.2661831307,0.0,4.2462760417,0.5867510271,4.1508568454,1772300891.7299652,0.1209792317,0,-6.7163689383,0.0,50.2346954346,0.2473399062,-0.0155157681,-0.0190426522,617.0,6.691875,-0.0348739165,752.5817803,0,4.3580295599
